Word ,Context. diversity,Freq. per million,Word Form,Coverage
1,100.0%,43663.3,que,4.4%
2,100.0%,36470.6,no,8.0%
3,100.0%,31753.6,a,11.2%
4,100.0%,26621.1,de,13.9%
5,100.0%,21606.8,la,16.0%
6,100.0%,19809.1,y,18.0%
7,100.0%,15556.8,me,19.5%
8,100.0%,15123.9,es,21.1%
9,100.0%,14237.2,lo,22.5%
10,100.0%,13960.1,qué,23.9%
11,100.0%,13231.2,el,25.2%
12,100.0%,11878.0,en,26.4%
13,100.0%,10947.5,por,27.5%
14,100.0%,9473.5,se,28.4%
15,100.0%,9224.2,con,29.4%
16,100.0%,8708.0,un,30.2%
17,100.0%,6861.0,ya,30.9%
18,100.0%,6710.3,para,31.6%
19,100.0%,6603.9,mi,32.2%
20,100.0%,6542.9,una,32.9%
21,100.0%,6023.9,está,33.5%
22,100.0%,5841.8,los,34.1%
23,100.0%,5288.8,si,34.6%
24,100.0%,4262.0,las,35.0%
25,100.0%,4224.2,más,35.5%
26,100.0%,2781.5,del,35.7%
27,99.7%,10972.3,yo,36.8%
28,99.7%,7560.9,pero,37.6%
29,99.7%,6244.0,le,38.2%
30,99.7%,4947.7,eso,38.7%
31,99.7%,3923.9,todo,39.1%
32,99.7%,3738.7,como,39.5%
33,99.7%,3451.8,muy,39.8%
34,99.7%,3200.2,su,40.1%
35,99.7%,3102.3,o,40.5%
36,99.7%,3040.6,al,40.8%
37,99.7%,2907.0,así,41.0%
38,99.7%,1979.4,esta,41.2%
39,99.7%,1238.3,son,41.4%
40,99.5%,11308.8,te,42.5%
41,99.5%,4419.4,bien,42.9%
42,99.5%,3534.7,porque,43.3%
43,99.5%,3328.7,nada,43.6%
44,99.5%,2925.2,sé,43.9%
45,99.5%,2422.7,hacer,44.2%
46,99.5%,2202.5,tiene,44.4%
47,99.5%,2020.0,hay,44.6%
48,99.5%,1902.3,ahora,44.8%
49,99.5%,1748.6,ser,45.0%
50,99.5%,1655.7,mucho,45.1%
51,99.5%,1585.0,cuando,45.3%
52,99.5%,1407.6,también,45.4%
53,99.5%,1083.0,vez,45.5%
54,99.2%,9250.4,sí,46.5%
55,99.2%,3214.5,nos,46.8%
56,99.2%,3001.9,ver,47.1%
57,99.2%,2351.9,esto,47.3%
58,99.2%,2100.7,este,47.5%
59,99.2%,2083.3,algo,47.7%
60,99.2%,2064.8,ese,47.9%
61,99.2%,1952.1,ahí,48.1%
62,99.2%,1382.4,mejor,48.3%
63,99.2%,1106.8,dos,48.4%
64,98.9%,3581.0,cómo,48.7%
65,98.9%,3042.2,vamos,49.0%
66,98.9%,2388.5,tengo,49.3%
67,98.9%,1906.6,esa,49.5%
68,98.9%,981.1,tiempo,49.6%
69,98.9%,787.7,día,49.6%
70,98.7%,3608.5,voy,50.0%
71,98.7%,3595.3,bueno,50.4%
72,98.7%,1611.9,fue,50.5%
73,98.7%,1400.7,puede,50.7%
74,98.7%,1261.2,todos,50.8%
75,98.7%,1080.6,era,50.9%
76,98.7%,1076.9,hace,51.0%
77,98.7%,1002.1,les,51.1%
78,98.4%,3628.8,va,51.5%
79,98.4%,1338.2,pasa,51.6%
80,98.4%,983.3,siempre,51.7%
81,98.4%,889.2,otra,51.8%
82,98.4%,771.3,uno,51.9%
83,98.1%,2565.6,estoy,52.1%
84,98.1%,2418.9,quiero,52.4%
85,98.1%,1366.2,estar,52.5%
86,98.1%,1177.0,están,52.6%
87,98.1%,1069.5,hasta,52.7%
88,98.1%,1056.9,estaba,52.8%
89,98.1%,835.3,sin,52.9%
90,97.9%,2096.9,gracias,53.1%
91,97.9%,1898.5,él,53.3%
92,97.9%,1471.3,quién,53.5%
93,97.9%,1324.6,vida,53.6%
94,97.9%,1238.1,dónde,53.7%
95,97.9%,1224.9,cosas,53.8%
96,97.9%,1170.2,creo,54.0%
97,97.9%,1116.1,tenemos,54.1%
98,97.9%,636.1,otro,54.1%
99,97.6%,3470.3,aquí,54.5%
100,97.6%,2140.7,mí,54.7%
101,97.6%,1757.4,ni,54.9%
102,97.6%,1116.3,solo,55.0%
103,97.6%,872.0,nunca,55.1%
104,97.3%,1941.6,verdad,55.3%
105,97.3%,918.5,nosotros,55.4%
106,97.3%,391.9,tres,55.4%
107,97.1%,2136.7,estás,55.6%
108,97.1%,1452.1,puedo,55.8%
109,97.1%,1191.8,ir,55.9%
110,97.1%,807.0,tener,56.0%
111,96.8%,3003.8,tu,56.3%
112,96.8%,885.5,gente,56.3%
113,96.5%,1041.7,decir,56.4%
114,96.5%,1040.0,estamos,56.6%
115,96.5%,808.1,mis,56.6%
116,96.3%,1401.7,soy,56.8%
117,96.3%,1363.9,entonces,56.9%
118,96.3%,1318.1,casa,57.0%
119,96.3%,712.4,después,57.1%
120,96.3%,602.6,poco,57.2%
121,96.0%,2110.5,favor,57.4%
122,96.0%,1262.8,tan,57.5%
123,96.0%,871.4,nadie,57.6%
124,96.0%,606.7,antes,57.7%
125,96.0%,504.9,años,57.7%
126,95.7%,1735.4,vas,57.9%
127,95.7%,944.0,van,58.0%
128,95.7%,715.1,mismo,58.0%
129,95.5%,606.1,hoy,58.1%
130,95.5%,540.9,desde,58.2%
131,95.2%,1036.9,quiere,58.3%
132,95.2%,830.4,sus,58.4%
133,95.2%,693.9,toda,58.4%
134,94.9%,842.0,cosa,58.5%
135,94.7%,1242.4,sea,58.6%
136,94.7%,825.5,momento,58.7%
137,94.7%,670.8,menos,58.8%
138,94.7%,590.1,cuenta,58.8%
139,94.7%,541.6,da,58.9%
140,94.4%,1739.4,ella,59.1%
141,94.4%,1405.3,claro,59.2%
142,94.1%,587.8,mañana,59.3%
143,94.1%,516.1,días,59.3%
144,94.1%,468.9,unos,59.4%
145,93.9%,1008.3,sabe,59.5%
146,93.9%,623.9,dije,59.5%
147,93.6%,558.7,dice,59.6%
148,93.6%,517.6,tenía,59.6%
149,93.4%,1530.1,ha,59.8%
150,93.4%,1019.2,hablar,59.9%
151,93.1%,814.5,parece,60.0%
152,93.1%,575.6,gusta,60.0%
153,92.8%,569.2,alguien,60.1%
154,92.8%,549.0,quería,60.1%
155,92.6%,624.6,muchas,60.2%
156,92.6%,531.7,donde,60.3%
157,92.6%,517.7,había,60.3%
158,92.6%,506.7,mundo,60.4%
159,92.3%,544.6,tanto,60.4%
160,92.0%,1163.3,pasó,60.5%
161,92.0%,524.4,salir,60.6%
162,92.0%,350.1,veces,60.6%
163,92.0%,344.4,viene,60.7%
164,91.8%,570.5,todas,60.7%
165,91.8%,551.0,dar,60.8%
166,91.8%,534.6,tal,60.8%
167,91.5%,606.5,hecho,60.9%
168,91.5%,557.3,pasar,60.9%
169,91.5%,467.0,noche,61.0%
170,91.5%,427.7,igual,61.0%
171,91.5%,377.9,estos,61.1%
172,91.5%,324.4,cada,61.1%
173,91.2%,582.8,haciendo,61.2%
174,91.2%,524.3,iba,61.2%
175,91.0%,1024.9,hombre,61.3%
176,91.0%,633.8,saber,61.4%
177,91.0%,572.5,podemos,61.4%
178,91.0%,469.1,tienen,61.5%
179,90.7%,3696.4,tú,61.8%
180,90.7%,796.6,hola,61.9%
181,90.7%,625.9,madre,62.0%
182,90.7%,568.6,trabajo,62.0%
183,90.7%,441.8,fuera,62.1%
184,90.4%,1271.5,mira,62.2%
185,90.4%,740.4,dijo,62.3%
186,90.4%,633.8,digo,62.4%
187,90.2%,516.0,tus,62.4%
188,90.2%,480.4,buena,62.4%
189,90.2%,473.8,seguro,62.5%
190,89.9%,686.0,mal,62.6%
191,89.9%,512.7,ellos,62.6%
192,89.9%,231.3,casi,62.6%
193,89.6%,415.0,entre,62.7%
194,89.4%,705.2,conmigo,62.8%
195,89.4%,444.5,único,62.8%
196,89.1%,389.9,veo,62.8%
197,89.1%,329.4,hora,62.9%
198,89.1%,196.5,cinco,62.9%
199,88.8%,564.7,siento,62.9%
200,88.8%,486.3,dejar,63.0%
201,88.8%,399.2,todavía,63.0%
202,88.8%,343.5,haber,63.1%
203,88.8%,313.8,falta,63.1%
204,88.6%,891.9,hijo,63.2%
205,88.6%,464.4,ve,63.2%
206,88.6%,399.3,tampoco,63.3%
207,88.6%,355.9,parte,63.3%
208,88.6%,327.5,llegar,63.3%
209,88.6%,153.5,cuatro,63.4%
210,88.3%,1965.8,eh,63.6%
211,88.3%,1305.8,sabes,63.7%
212,88.3%,1039.1,he,63.8%
213,88.3%,360.2,venir,63.8%
214,88.3%,350.6,somos,63.9%
